kategorie,anforderung,beschreibung,status,umsetzung_kurz,zitat_aufgabe_md,zitat_eigene_konzeption,quelle,zusatzleistung
Kernprozess,E-Mail-Eingang (Gmail),Bewerbungen koennen per E-Mail an ein Postfach gesendet und automatisch erkannt werden,erledigt,"Gmail Trigger + Betreff-Filter (erkennt 'bewerbung'/'objektbesichtiger'/'ob stelle'), Claude API parst Freitext-E-Mails in strukturierte Felder","'Eine Bewerbung kommt rein, mit Name, E-Mail, Wohnort, abgedeckten Postleitzahlen, Berufserfahrung, Verfügbarkeit pro Woche, Kurzmotivation und optional einer kleinen Selbsteinschätzung der relevanten Skills.' / 'Wir wollen einen automatisierten Recruiting-Funnel, der eingehende Bewerbungen entgegennimmt'","Workflow 1 — Bewerbungseingang. Triggert bei neuer E-Mail im Gmail-Postfach",aufgabe.md (Pflicht),nein
Kernprozess,Formular-Eingang (Tally),Bewerbungen koennen ueber ein Online-Formular eingereicht werden,erledigt,"Webhook akzeptiert Tally.so Format (data.fields Array), MULTIPLE_CHOICE-Felder werden via Options-Mapping normalisiert",,Tally als zusaetzlicher Eingangskanal nicht explizit in Konzeption — wurde im Bau ergaenzt um realistischen Online-Formular-Eingang zu zeigen,eigene Konzeption,ja (Zusatz - realistischerer 2. Kanal)
Kernprozess,Webhook-Eingang (Direkt-JSON),Bewerbungen koennen per direktem API-Call/JSON eingereicht werden,erledigt,"Webhook akzeptiert direktes JSON (curl/Subworkflow), Normalizer erkennt Format automatisch ueber raw.data.fields vs. raw.name",,"Eingang B (HTTP-Webhook): POST-Endpoint der direkt JSON entgegennimmt (Format wie bewerbungen.json) — Test-Weg, gleicher Workflow ab Datenextraktion",eigene Konzeption,nein
Kernprozess,PLZ-Abgleich gegen Bedarfskarte,Jede Bewerbung wird gegen die aktuelle Bedarfskarte geprueft (PLZ-Bereich vs. Bedarfsstatus),erledigt,"DB - PLZ Match: SQL-Query findet besten Bedarfsstatus ueber alle abgedeckten PLZ-Bereiche inkl. zugehoerigem PLZ-Bereich, liefert Score 0-100 sowie Liste unbekannter PLZ-Bereiche, COALESCE garantiert genau eine Ergebniszeile auch bei null Treffern","'Die Anwendung soll diese Bewerbung gegen unseren aktuellen Bedarf prüfen' / 'Eine Mitarbeiterin sichtet jede einzelne Bewerbung manuell, prüft die Postleitzahl gegen unsere aktuelle Bedarfskarte'","PLZ-Match-Logik: ALLE abgedeckten PLZ pruefen, BESTEN Bedarfsstatus fuer Scoring nehmen / PLZ-Match deterministisch — klare Lookup-Logik",aufgabe.md (Pflicht),nein
Kernprozess,Eignungsbewertung (Scoring),Automatische Bewertung der Bewerbung anhand PLZ-Bedarf Verfuegbarkeit Vollstaendigkeit und Zertifizierung,erledigt,"Scoring & Routing: gewichtete Formel (PLZ 50% / Verfuegbarkeit 25% / Vollstaendigkeit 15% / ISO 10%), Score 0-100","'eine Eignungsbewertung vornehmen' / 'wie Du die Bewertungslogik gestaltest, ... — alles Deine Entscheidung'","Score-Berechnung: Gewichtete Summe (...) — Deterministisch, muss erklaerbar sein",aufgabe.md (Pflicht),nein
Kernprozess,Automatisches Routing in Pipeline,Bewerbung wird basierend auf PLZ-Status Vollstaendigkeit und Score in die richtige Pipeline (Einladung/Absage/Rueckfrage/manuelle Pruefung) eingeordnet,erledigt,"Zentraler Switch mit 4 Ausgaengen vor Scoring (PLZ schlecht/PLZ unbekannt/Felder fehlen/alles ok) plus zweiter Switch nach Scoring (Einladung/Grenzfall)","'die Bewerbung in eine sinnvolle Pipeline einsortieren' / 'Wir wollen einen automatisierten Recruiting-Funnel, der ... in die richtige Pipeline einsortiert'","Routing — Deterministisch, klare Regeln",aufgabe.md (Pflicht),nein
Kernprozess,Automatischer Mailversand Einladung,Bei gutem Match wird automatisch eine Einladungs-Mail versendet,erledigt,"Mail - Einladung senden (HTML formatiert) auf Basis von Vorlage 1 inkl. Kalender-Buchungslink (Mock-Verbindung Alexander), REF-ID im Subject fuer Nachverfolgung","'automatisch die passende Folgekommunikation auslösen' / 'eine Einladung zum nächsten Schritt'","Workflow 2 ... bei automatischer Einladung oder Absage: Passende Vorlage fuellen, via Gmail SMTP versenden",aufgabe.md (Pflicht),nein
Kernprozess,Automatischer Mailversand Absage,Bei Ueberbestand in der Region wird automatisch eine freundliche Absage mit Pool-Hinweis versendet,erledigt,"Mail - Absage senden (HTML formatiert) auf Basis von Vorlage 2, Bewerber bleibt im Pool (im_pool=true)","'automatisch die passende Folgekommunikation auslösen' / 'eine freundliche Absage für nicht passende Regionen'",,aufgabe.md (Pflicht),nein
Kernprozess,Automatischer Mailversand Rueckfrage,Bei fehlenden Pflichtangaben wird automatisch eine Rueckfrage mit Liste der fehlenden Felder versendet,erledigt,"Mail - Rueckfrage senden (HTML formatiert, fehlende Felder fett) auf Basis von Vorlage 3, REF-ID im Subject","'automatisch die passende Folgekommunikation auslösen' / 'eine Rückfrage bei unklaren Angaben'",,aufgabe.md (Pflicht),nein
Kernprozess,Rueckfrage-Loop (Antwortverarbeitung),Antworten auf Rueckfrage-Mails werden automatisch erkannt mit der bestehenden Bewerbung verknuepft und die Bewerbung neu bewertet,erledigt,"Sub-Workflow 1 - Rueckfrage (in Workflow 1 als Subworkflow-Node integriert): erkennt REF-ID im Betreff per Regex extrahiert Werte aus Antworttext merged mit DB-Datensatz und ruft Workflow 1 erneut auf (Re-Scoring), Update statt Insert via WHERE id; end-to-end mit Test03 bestaetigt",,"Workflow 3 — Rueckfrage-Loop. Erkennt Antworten auf Rueckfrage-Mails anhand der Bewerber-ID im Betreff, updatet den bestehenden Datensatz, startet Bewertung erneut",eigene Konzeption,ja (Zusatz - schliesst den Loop)
Kernprozess,Robustheit gegen kaputte Bewerbungen,Das System scheitert nicht wenn eine unvollstaendige oder unsinnige Bewerbung kommt,erledigt,"Switch unterscheidet 4 Faelle (PLZ schlecht/PLZ unbekannt/Felder fehlen/alles ok); Spam-Heuristik fuer Unsinn; COALESCE in PLZ-Query verhindert SQL-Fehler bei leeren Treffern; ON CONFLICT-Upsert verhindert Duplikate","'ob Dein System scheitert, wenn jemand eine kaputte Bewerbung schickt' / 'welche Edge Cases Du behandelst — alles Deine Entscheidung'",,aufgabe.md (Pflicht),nein
Kernprozess,Edge Case - unvollstaendige Bewerbung ohne PLZ,Bewerbungen ganz ohne PLZ-Angabe werden als Rueckfrage behandelt nicht als interner Grenzfall,erledigt,"Switch unterscheidet 'PLZ fehlt komplett' (abgedeckte_plz leer -> Rueckfrage) von 'PLZ angegeben aber nicht in Bedarfskarte' (-> Grenzfall/Telegram). Beispiel: BW-0145 Tobias R. -> Rueckfrage","'manche haben unvollständige Angaben' / 'welche Edge Cases Du behandelst'",,aufgabe.md (Pflicht),nein
Kernprozess,Edge Case - gemischte PLZ-Bereiche,"Bei mehreren abgedeckten PLZ-Bereichen wird der gemaess Bedarfskarte beste Bereich fuer die Bewertung herangezogen, unbekannte Bereiche werden zusaetzlich vermerkt",erledigt,"DB-PLZ-Match liefert besten bekannten Score plus alle gleichwertigen besten PLZ-Bereiche (z.B. '44, 58') plus separate Liste 'unbekannte_plz'; bei Score<=20 UND unbekannten Zonen geht der Fall zur manuellen Pruefung statt automatischer Absage; Begruendungstexte verweisen praezise auf den jeweiligen PLZ-Bereich","'die Bedarfskarte ist nicht eindeutig' / 'Was uns besonders interessiert, ist Dein Umgang mit Mehrdeutigkeit'","Konzeption: PLZ-Match Logik nur fuer 'beste PLZ'. Erweiterung um 'unbekannte Bereiche' und mehrere gleichwertige beste Bereiche wurde im Bau ergaenzt nach fachlicher Diskussion",aufgabe.md (Pflicht),teilweise (Erweiterung im Bau)
Kernprozess,Priorisierung PLZ vor fehlenden Feldern,Eine bekanntermassen ueberbesetzte Region fuehrt zur direkten Absage auch wenn andere Pflichtfelder fehlen (keine unnoetige Rueckfrage vor sicherer Absage),erledigt,"Switch prueft PLZ-Status vor Vollstaendigkeit; Test08 bestaetigt direkte Absage ohne Rueckfrage-Umweg","'ob Deine Lösung tatsächlich Arbeit spart oder nur Arbeit verschiebt' / 'Edge Cases ... alles Deine Entscheidung'",In Konzeption nicht explizit — wurde im Bau erkannt als Anti-Pattern (Bewerber nicht erst Daten nachreichen lassen fuer Absage),eigene Konzeption,ja (eigene Verbesserung)
Kernprozess,Spam-/Unsinn-Erkennung,Offensichtlich nicht ernst gemeinte Bewerbungen werden automatisch erkannt und aussortiert ohne Bearbeitung durch die Mitarbeiterin,erledigt,"Spam Heuristik (Code-Node): Score aus PLZ-Validitaet Verfuegbarkeit>80 Erfahrung>60 Name in Grossbuchstaben Motivationslaenge und werblichen Begriffen; bei Schwellenwert -> status spam_aussortiert ohne weitere Verarbeitung","'mindestens eine Bewerbung ist offensichtlich nicht ernst gemeint'","Spam-Heuristik in Code-Node (Konzeption: optional auch in spam_config.json) — 2-3 Punkte -> KI prueft, 4+ Punkte -> direkt spam_aussortiert. Aktuell rein deterministisch ohne LLM-Zweitpruefung",eigene Konzeption,nein (Pflicht-Hinweis aus Aufgabe)
KI-Einsatz,Bewusste Entscheidung wo KI und wo deterministisch,Es ist klar wo KI eingesetzt wird und wo deterministische Logik die bessere Wahl ist,erledigt,"Claude API ausschliesslich fuer E-Mail-Parsing; alle nachfolgenden Entscheidungen (Scoring Switch Routing Begruendung) deterministischer Code","'Wenn Du KI einsetzt, interessiert uns, an welchen Stellen Du das tust und wo Du bewusst darauf verzichtest, weil deterministische Logik die bessere Wahl ist'","Deterministisch wo moeglich, KI wo noetig — eine PLZ-Pruefung gegen eine Tabelle ist keine KI-Aufgabe; Score-Berechnung muss erklaerbar sein",aufgabe.md (Pflicht),nein
KI-Einsatz,Nachvollziehbare KI-Begruendung bei Grenzfaellen,Jeder manuell_pruefen-Fall erhaelt eine lesbare textuelle Begruendung fuer die Mitarbeiterin,erledigt,"ki_begruendung wird in Scoring & Routing und Grenzfall normalisieren aus deterministischen Regeln generiert; benannt 'KI-Begruendung' weil sie der Mitarbeiterin als Entscheidungshilfe dient; LLM-basierte Berufs-/Motivationsbewertung war in Konzeption vorgesehen aber bewusst deterministisch umgesetzt (Erklaerbarkeit)",,"Empfehlung bei Grenzfaellen — KI. Konkrete Handlungsempfehlung mit Begruendung statt nur 'manuell pruefen'",eigene Konzeption,teilweise - Abweichung von Konzeption zugunsten Erklaerbarkeit
Mitarbeiter-Tooling,Visuelle Pool-Uebersicht (NocoDB Kanban),Mitarbeiterin kann in einer Oberflaeche sehen welche Bewerber im Pool sind und in welchem Status,erledigt,"NocoDB als Frontend mit Kanban-View 'Stacked by status'; Karten zeigen Name, PLZ, KI-Begruendung, manuelle_entscheidung; Detailansicht zeigt alle Bewerbungsdetails; technische Felder (historie, fehlende_felder) ausgeblendet","'Am Ende soll eine zuständige Mitarbeiterin in einer übersichtlichen Oberfläche sehen können, welche Bewerber:innen aktuell im Pool sind, in welchem Status sie stehen und wo manuelle Aufmerksamkeit gebraucht wird.'","NocoDB Kanban-Board mit status als Gruppierung; Karten zeigen Name PLZ Score KI-Empfehlung",aufgabe.md (Pflicht),nein
Mitarbeiter-Tooling,Manuelle Aufmerksamkeit kenntlich machen,Mitarbeiterin sieht klar an welcher Stelle manuelle Aufmerksamkeit gebraucht wird,erledigt,"Status manuell_pruefen ist eigene Kanban-Spalte; zusaetzlich aktive Telegram-Benachrichtigung mit KI-Begruendung; manuelle_entscheidung als Single-Select-Dropdown in NocoDB","'und wo manuelle Aufmerksamkeit gebraucht wird'",NocoDB Kanban-Spalte 'manuell_pruefen' macht den Bedarf sichtbar; Detailansicht zeigt KI-Empfehlung + Konfidenz + Begruendung,aufgabe.md (Pflicht),nein
Mitarbeiter-Tooling,Mitarbeiterin im Blick,Die zukuenftige Bedienung des Tools durch die Mitarbeiterin wurde in der Loesung mitgedacht (nicht nur Backend),erledigt,"Drei UX-Pfade fuer manuelle Entscheidung: (1) NocoDB Kanban (Drag in manuelle_entscheidung-Dropdown), (2) Telegram Inline-Buttons (Einladen/Absagen direkt aus Push-Nachricht), (3) NocoDB-Kommentare fuer interne Notizen statt separates Feld - alle drei Wege loesen denselben Subworkflow aus","'ob Du an die Mitarbeiterin gedacht hast, die Dein Tool später bedient'","Wenn die Mitarbeiterin eine Karte mit Status manuell_pruefen oeffnet, sieht sie: KI-Empfehlung (read-only), ihre Entscheidung (Dropdown + optionaler Zusatz), Save-Button. So muss die Mitarbeiterin nie das System verlassen",aufgabe.md (Pflicht),nein
Mitarbeiter-Tooling,Benachrichtigung bei manueller Pruefung,Mitarbeiterin wird bei Grenzfaellen aktiv benachrichtigt statt die Datenbank pollen zu muessen,erledigt,"Telegram-Benachrichtigung mit Name PLZ Beruf Verfuegbarkeit Score KI-Empfehlung und Begruendung bei jedem manuell_pruefen-Fall; inkl. Inline-Buttons fuer Sofort-Entscheidung",,"Bei Status manuell_pruefen soll eine Telegram-Nachricht an mich gehen ... mit KI-Empfehlung + Konfidenz + Begruendung",eigene Konzeption,ja (Zusatz - aktive Benachrichtigung)
